28.05.2022 0:31:27| Данные из файла 3.JSON прочитаны;
28.05.2022 0:31:27| Данные в файл C:\Users\kosus\Desktop\2.json записаны;
28.05.2022 0:31:27| Новости дозаписаны/прочитаны в/из JSON файлы;
28.05.2022 0:31:27| Процесс 2 работает, передаём управление;
28.05.2022 0:31:42| Управление от 2го процесса получено;
28.05.2022 0:31:42| Началась новая итерация;
---------------------------------------------
28.05.2022 0:31:42| Процесс 1 берёт управление;
28.05.2022 0:31:51| Новости получены (12);
28.05.2022 0:31:58| Новости обработаны, осталось 8;
28.05.2022 0:31:58| Поток1 получил разрешение на запись;
28.05.2022 0:31:58| Поток2 получил разрешение на запись;
28.05.2022 0:31:58| Поток3 получил разрешение на запись;
28.05.2022 0:31:58| Данные в файл C:\Users\kosus\Desktop\1.json записаны;
28.05.2022 0:31:58| Данные в файл C:\Users\kosus\Desktop\2.json записаны;
28.05.2022 0:31:58| Данные в файл C:\Users\kosus\Desktop\3.json записаны;
28.05.2022 0:31:58| Новости дозаписаны/прочитаны в/из JSON файлы;
28.05.2022 0:31:58| Процесс 2 работает, передаём управление;
28.05.2022 0:32:16| Управление от 2го процесса получено;
28.05.2022 0:32:16| Началась новая итерация;
---------------------------------------------
28.05.2022 0:32:16| Процесс 1 берёт управление;
28.05.2022 0:32:26| Новости получены (12);
28.05.2022 0:32:34| Новости обработаны, осталось 8;
28.05.2022 0:32:34| Поток4 получил разрешение на чтение 1.JSON;
28.05.2022 0:32:34| Поток2 получил разрешение на запись;
28.05.2022 0:32:34| Поток3 получил разрешение на запись;
28.05.2022 0:32:34| Данные из файла 1.JSON прочитаны;
28.05.2022 0:32:34| Данные в файл C:\Users\kosus\Desktop\3.json записаны;
28.05.2022 0:32:34| Данные в файл C:\Users\kosus\Desktop\2.json записаны;
28.05.2022 0:32:34| Новости дозаписаны/прочитаны в/из JSON файлы;
28.05.2022 0:32:34| Процесс 2 работает, передаём управление;
28.05.2022 0:32:49| Управление от 2го процесса получено;
28.05.2022 0:32:49| Началась новая итерация;
---------------------------------------------
28.05.2022 0:32:49| Процесс 1 берёт управление;
28.05.2022 0:32:56| Новости получены (12);
28.05.2022 0:33:03| Новости обработаны, осталось 8;
28.05.2022 0:33:03| Поток1 получил разрешение на запись;
28.05.2022 0:33:03| Поток4 получил разрешение на чтение 2.JSON;
28.05.2022 0:33:03| Поток3 получил разрешение на запись;
28.05.2022 0:33:03| Данные в файл C:\Users\kosus\Desktop\1.json записаны;
28.05.2022 0:33:03| Данные из файла 2.JSON прочитаны;
28.05.2022 0:33:03| Данные в файл C:\Users\kosus\Desktop\3.json записаны;
28.05.2022 0:33:03| Новости дозаписаны/прочитаны в/из JSON файлы;
28.05.2022 0:33:03| Процесс 2 работает, передаём управление;
28.05.2022 0:33:18| Управление от 2го процесса получено;
28.05.2022 0:33:18| Началась новая итерация;
---------------------------------------------
28.05.2022 0:33:18| Процесс 1 берёт управление;
28.05.2022 0:33:27| Новости получены (12);
28.05.2022 0:33:34| Новости обработаны, осталось 8;
28.05.2022 0:33:34| Поток1 получил разрешение на запись;
28.05.2022 0:33:34| Поток2 получил разрешение на запись;
28.05.2022 0:33:34| Поток4 получил разрешение на чтение 3.JSON;
28.05.2022 0:33:34| Данные в файл C:\Users\kosus\Desktop\1.json записаны;
28.05.2022 0:33:34| Данные в файл C:\Users\kosus\Desktop\2.json записаны;
28.05.2022 0:33:34| Данные из файла 3.JSON прочитаны;
28.05.2022 0:33:34| Новости дозаписаны/прочитаны в/из JSON файлы;
28.05.2022 0:33:34| Процесс 2 работает, передаём управление;
28.05.2022 0:33:51| Управление от 2го процесса получено;
28.05.2022 0:33:51| Началась новая итерация;
---------------------------------------------
28.05.2022 0:33:51| Процесс 1 берёт управление;
28.05.2022 0:33:58| Новости получены (12);
28.05.2022 0:34:06| Новости обработаны, осталось 8;
28.05.2022 0:34:06| Поток1 получил разрешение на запись;
28.05.2022 0:34:06| Поток2 получил разрешение на запись;
28.05.2022 0:34:06| Данные в файл C:\Users\kosus\Desktop\1.json записаны;
28.05.2022 0:34:06| Поток3 получил разрешение на запись;
28.05.2022 0:34:06| Данные в файл C:\Users\kosus\Desktop\3.json записаны;
28.05.2022 0:34:06| Данные в файл C:\Users\kosus\Desktop\2.json записаны;
28.05.2022 0:34:06| Новости дозаписаны/прочитаны в/из JSON файлы;
28.05.2022 0:34:06| Процесс 2 работает, передаём управление;
28.05.2022 0:34:23| Управление от 2го процесса получено;
28.05.2022 0:34:23| Началась новая итерация;
---------------------------------------------
28.05.2022 0:34:23| Процесс 1 берёт управление;
28.05.2022 0:34:34| Новости получены (12);
28.05.2022 0:34:43| Новости обработаны, осталось 8;
28.05.2022 0:34:43| Поток4 получил разрешение на чтение 1.JSON;
28.05.2022 0:34:43| Поток2 получил разрешение на запись;
28.05.2022 0:34:43| Поток3 получил разрешение на запись;
28.05.2022 0:34:43| Данные в файл C:\Users\kosus\Desktop\2.json записаны;
28.05.2022 0:34:43| Данные из файла 1.JSON прочитаны;
28.05.2022 0:34:43| Данные в файл C:\Users\kosus\Desktop\3.json записаны;
28.05.2022 0:34:43| Новости дозаписаны/прочитаны в/из JSON файлы;
28.05.2022 0:34:43| Процесс 2 работает, передаём управление;
28.05.2022 0:35:07| Управление от 2го процесса получено;
28.05.2022 0:35:07| Началась новая итерация;
---------------------------------------------
28.05.2022 0:35:07| Процесс 1 берёт управление;
28.05.2022 0:35:17| Новости получены (12);
28.05.2022 0:35:27| Новости обработаны, осталось 8;
28.05.2022 0:35:27| Поток1 получил разрешение на запись;
28.05.2022 0:35:27| Поток4 получил разрешение на чтение 2.JSON;
28.05.2022 0:35:27| Поток3 получил разрешение на запись;
28.05.2022 0:35:27| Данные из файла 2.JSON прочитаны;
28.05.2022 0:35:27| Данные в файл C:\Users\kosus\Desktop\1.json записаны;
28.05.2022 0:35:27| Данные в файл C:\Users\kosus\Desktop\3.json записаны;
28.05.2022 0:35:27| Новости дозаписаны/прочитаны в/из JSON файлы;
28.05.2022 0:35:27| Процесс 2 работает, передаём управление;
28.05.2022 0:35:50| Управление от 2го процесса получено;
28.05.2022 0:35:50| Началась новая итерация;
---------------------------------------------
28.05.2022 0:35:50| Процесс 1 берёт управление;
28.05.2022 0:35:57| Новости получены (12);
28.05.2022 0:36:07| Новости обработаны, осталось 8;
28.05.2022 0:36:07| Поток1 получил разрешение на запись;
28.05.2022 0:36:07| Данные в файл C:\Users\kosus\Desktop\1.json записаны;
28.05.2022 0:36:07| Поток2 получил разрешение на запись;
28.05.2022 0:36:07| Данные в файл C:\Users\kosus\Desktop\2.json записаны;
28.05.2022 0:36:07| Поток4 получил разрешение на чтение 3.JSON;
28.05.2022 0:36:07| Данные из файла 3.JSON прочитаны;
28.05.2022 0:36:07| Новости дозаписаны/прочитаны в/из JSON файлы;
28.05.2022 0:36:07| Процесс 2 работает, передаём управление;
28.05.2022 0:36:38| Управление от 2го процесса получено;
28.05.2022 0:36:38| Началась новая итерация;
---------------------------------------------
28.05.2022 0:36:38| Процесс 1 берёт управление;
28.05.2022 0:36:46| Новости получены (12);
28.05.2022 0:36:56| Новости обработаны, осталось 8;
28.05.2022 0:36:56| Поток1 получил разрешение на запись;
28.05.2022 0:36:56| Поток2 получил разрешение на запись;
28.05.2022 0:36:56| Поток3 получил разрешение на запись;
28.05.2022 0:36:56| Данные в файл C:\Users\kosus\Desktop\2.json записаны;
28.05.2022 0:36:56| Данные в файл C:\Users\kosus\Desktop\3.json записаны;
28.05.2022 0:36:56| Данные в файл C:\Users\kosus\Desktop\1.json записаны;
28.05.2022 0:36:56| Новости дозаписаны/прочитаны в/из JSON файлы;
28.05.2022 0:36:56| Процесс 2 работает, передаём управление;
28.05.2022 0:37:20| Управление от 2го процесса получено;
28.05.2022 0:37:20| Началась новая итерация;
---------------------------------------------
28.05.2022 0:37:20| Процесс 1 берёт управление;
28.05.2022 0:37:30| Новости получены (12);
28.05.2022 0:37:39| Новости обработаны, осталось 8;
